一覧
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
18	秋田	ＮＨＫ総合・秋田	①	18432	32464	7ED0
18	秋田	ＮＨＫＥテレ秋田	②	18440	32465	7ED1
18	秋田	ＡＢＳ秋田放送	④	18448	32466	7ED2
18	秋田	ＡＫＴ秋田テレビ	⑧	18456	32467	7ED3
18	秋田	ＡＡＢ秋田朝日放送	⑤	18464	32468	7ED4
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
19	山形	ＮＨＫ総合・山形	①	19456	32448	7EC0
19	山形	ＮＨＫＥテレ山形	②	19464	32449	7EC1
19	山形	ＹＢＣ山形放送	④	19472	32450	7EC2
19	山形	ＹＴＳ山形テレビ	⑤	19480	32451	7EC3
19	山形	テレビユー山形	⑥	19488	32452	7EC4
19	山形	さくらんぼテレビ	⑧	19496	32453	7EC5
20	岩手	ＮＨＫ総合・盛岡	①	20480	32432	7EB0
20	岩手	ＮＨＫＥテレ盛岡	②	20488	32433	7EB1
20	岩手	ＩＢＣテレビ	⑥	20496	32434	7EB2
20	岩手	テレビ岩手	④	20504	32435	7EB3
20	岩手	めんこいテレビ	⑧	20512	32436	7EB4
20	岩手	岩手朝日テレビ	⑤	20520	32437	7EB5
21	福島	ＮＨＫ総合・福島	①	21504	32416	7EA0
21	福島	ＮＨＫＥテレ福島	②	21512	32417	7EA1
21	福島	福島テレビ	⑧	21520	32418	7EA2
21	福島	福島中央テレビ	④	21528	32419	7EA3
21	福島	ＫＦＢ福島放送	⑤	21536	32420	7EA4
21	福島	テレビユー福島	⑥	21544	32421	7EA5
22	青森	ＮＨＫ総合・青森	③	22528	32400	7E90
22	青森	ＮＨＫＥテレ青森	②	22536	32401	7E91
22	青森	ＲＡＢ青森放送	①	22544	32402	7E92
22	青森	ＡＴＶ青森テレビ	⑥	22552	32403	7E93
22	青森	青森朝日放送	⑤	22560	32404	7E94
23	東京	ＴＯＫＹＯ ＭＸ	⑨	23608	32391	7E87
24	神奈川	ｔｖｋ	③	24632	32375	7E77
25	群馬	ＮＨＫ総合・前橋	①	25600	32352	7E60
25	群馬	群馬テレビ	③	25656	32359	7E67
26	茨城	ＮＨＫ総合・水戸	①	26624	32336	7E50
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
27	千葉	チバテレビ	③	27704	32327	7E47
28	栃木	ＮＨＫ総合・宇都宮	①	28672	32304	7E30
28	栃木	とちぎテレビ	③	28728	32311	7E37
29	埼玉	テレ玉	③	29752	32295	7E27
30	長野	ＮＨＫ総合・長野	①	30720	32272	7E10
30	長野	ＮＨＫＥテレ長野	②	30728	32273	7E11
30	長野	テレビ信州	④	30736	32274	7E12
30	長野	ａｂｎ長野朝日放送	⑤	30744	32275	7E13
30	長野	ＳＢＣ信越放送	⑥	30752	32276	7E14
30	長野	ＮＢＳ長野放送	⑧	30760	32277	7E15
31	新潟	ＮＨＫ総合・新潟	①	31744	32256	7E00
31	新潟	ＮＨＫＥテレ新潟	②	31752	32257	7E01
31	新潟	ＢＳＮ	⑥	31760	32258	7E02
31	新潟	ＮＳＴ	⑧	31768	32259	7E03
31	新潟	ＴｅＮＹテレビ新潟	④	31776	32260	7E04
31	新潟	新潟テレビ２１	⑤	31784	32261	7E05
32	山梨	ＮＨＫ総合・甲府	①	32768	32240	7DF0
32	山梨	ＮＨＫＥテレ甲府	②	32776	32241	7DF1
32	山梨	ＹＢＳ山梨放送	④	32784	32242	7DF2
32	山梨	ＵＴＹ	⑥	32792	32243	7DF3
33	愛知	ＮＨＫ総合・名古屋	③	33792	32224	7DE0
33	愛知	テレビ愛知	⑩	33840	32230	7DE6
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
34	石川	ＮＨＫ総合・金沢	①	34816	32208	7DD0
34	石川	ＮＨＫＥテレ金沢	②	34824	32209	7DD1
34	石川	テレビ金沢	④	34832	32210	7DD2
